facName,LocAddress,CityName,State,ZIP_CODE,countyName,Latitude,Longitude,AnimalType,AnimalCount,AnimalUnit,Swine,CattleBeef,CattleDair,Chickens,Turkeys,SheepLGoat,Other,est_annual_manure_lbs,opStatus,OperatType,ConsPermit,NPDESPermit,MMP,PindexMMP,NMP,SiteNOVs,DateLastNOV,SiteLNCs,AdminOrders,Spills,TownshipNa,Tier,Range,rangeDir,Sectn,FO,Congress,StHouse,StSenate,Hyperlink,compliacnce_page,stfacid,LOCID
Small Town Pork Llc,4848 Grant Avenue,Maurice,IA,51036,Sioux,42.9461,-96.19626,Pig,4400,1760,0,0,0,0,0,0,0,32326000,Active,Confinement/Open Feedlot,Y,N,Y,N,N,0,,0,0,,PACIFIC JUNCTION,2,43,W,28,3,4,4,2,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=58731,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=310682803,310682803,20000208378
Simons Livestock Llc,5468 310th Street,Sanborn,IA,51248,O'Brien,43.20267,-95.7113,Cattle (Beef),700,700,0,700,0,0,0,0,0,29596000,Active,Confinement/Open Feedlot,Y,N,Y,N,N,1,11/10/2020,0,0,,Franklin,97,41,W,20,3,5,5,3,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61524,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=310684267,310684267,20000209571
Pollema Doug,3213 Jackson Ave.,Hull,IA,51234,Sioux,43.18446,-96.06108,Pig,2000,800,800,0,0,0,0,0,0,24871500,Active,Confinement/Open Feedlot,Y,N,N,Y,N,3,4/10/2025,0,0,,Sheridan,97,44,W,32,3,4,3,2,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=66638,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=311745163,311745163,20000295309
Bob Douma,5468 310th Street,Sanborn,IA,51248,O'Brien,43.20071,-95.69343,Pig,5300,1460,1460,0,0,0,0,0,0,4368000,Active,Confinement,N,N,,,N,,,,,,Franklin,97,41,W,21,3,,,,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=68856,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=312549574,312549574,20000374218
"Winterfeld, Ayden",4848 Grant Avenue,Maurice,IA,51036,Sioux,42.9461,-96.19626,Cattle (Beef),700,700,0,700,0,0,0,0,0,32326000,Active,Confinement/Open Feedlot,Y,N,Y,Y,N,0,,0,0,,Sherman,94,45,W,20,3,4,4,2,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=71901,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=420811474,420811474,20000546602
Pollema Doug,3213 Jackson Ave.,Hull,IA,51234,Sioux,43.18446,-96.06108,Cattle (Beef),755,755,,755,0,0,0,0,0,21413500,Active,Confinement/Open Feedlot,Y,N,N,Y,N,,,,,,Sheridan,97,44,W,32,3,4,3,2,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=72011,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=438569838,438569838,20000595777
"Sioux County Egg Farm, Llc",2716 380th Street,Sioux Center,IA,51250,Sioux,43.09864,-96.25107,Chickens,1700000,17000,0,0,0,17000,0,0,0,106080000,Active,Confinement,Y,N,N,Y,N,1,6/1/2017,0,0,,,,,,,3,,,,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61264,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=310749385,310749385,20000120902
Guthrie Center Egg Farm - Laop,2143 215TH ROAD,Guthrie Center,IA,50115,Guthrie,41.69573,-94.52205,Chickens,1389300,13893,0,0,0,13893,0,0,0,86692320,Active,Confinement,Y,Y,Y,N,N,14,2/17/2025,2,0,,Seely,78,32,W,36,4,4,58,29,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61163,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=310201777,310201777,20000121887
Daybreak Foods Vincent Complex,3159 BUCHANAN AVE,Eagle Grove,IA,50533,Wright,42.59563,-93.94223,Chickens,6038300,60383.505,0,0,0,60383,0,0,0,376789920,Active,Confinement,Y,Y,N,N,N,34,11/19/2025,4,2,2,Troy,90,26,W,20,2,4,9,5,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=61193,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=310366393,310366393,20000132390
"Cedar Lane Estates, Incorporated",1114 J Avenue,Jefferson,IA,50129,Greene,42.06094,-94.46129,Pig,4980,1992,1992,0,0,0,0,0,0,18127200,Active,Confinement,Y,N,N,Y,N,0,,0,0,,BRISTOL,,,,,4,4,50,25,https://programs.iowadnr.gov/afoemmp/Facility/FacilitySummaryByID?facilityID=66140,https://programs.iowadnr.gov/focomp/Detail/FacilityDetail?facilityID=310377481,310377481,20000133532
